timestamp,node_id,parent_node_id,rank,position_x,position_y,energy_consumption,rssi,dio_received,dio_transmitted,dao_received,dao_transmitted,app_packet_received,app_packet_transmitted,packet_loss_rate,neighbor_count,ipv6_address,attack_active,attack_type,is_attacker,node_attack_type,has_geolife,geolife_progress
0,0,,0,454,300,0.01,-31.1,1,0,0,0,0,1,100,1,2001:db8::e4eb:62a0:43dc:31f1,false,none,false,none,false,0
0,1,,,190.29,265.17,0.01,-54.2,5,0,0,0,0,1,100,14,2001:db8::1508:6670:d2d8:57b6,false,none,false,none,true,0.03
0,2,,,195.26,266.88,0.01,-46.9,5,0,0,0,0,1,100,14,2001:db8::6633:f223:ec8e:b861,false,none,false,none,true,0.06
0,3,,,456.26,99.76,0.01,-41.5,0,0,0,0,0,1,100,3,2001:db8::4ca5:a12d:620f:db39,false,none,false,none,true,0.08
0,4,,,188.57,266,0.01,-48.3,5,0,0,0,0,0,0,14,2001:db8::6df2:8ca9:88ef:f279,false,none,false,none,true,0.02
0,5,,,194.53,266.25,0.01,-32.8,5,0,0,0,0,1,100,14,2001:db8::7300:2078:e53e:8711,false,none,false,none,true,0.12
0,6,,,193.91,267.15,0.01,-58,4,1,0,0,0,1,100,14,2001:db8::291c:2fe0:0734:1ad1,false,none,false,none,true,3.57
0,7,,,190.14,266.81,0.01,-58.5,5,0,0,0,0,1,0,14,2001:db8::249e:a4cf:4000:9119,false,none,false,none,true,0.10
0,8,,,195.17,265.86,0.01,-53.7,4,1,0,0,0,0,0,14,2001:db8::dfa3:68b8:b9c7:95a0,false,none,false,none,true,0.05
0,9,,,201.33,267.61,0.01,-56.4,5,0,0,0,0,0,0,14,2001:db8::fb1c:1532:fc62:26d0,false,none,false,none,true,0.07
0,10,,,447.74,99.38,0.01,-64.2,0,0,0,0,0,0,0,3,2001:db8::8694:5bb9:8fb7:17fe,false,none,false,none,true,0.07
0,11,,,461.08,100.44,0.01,-48.1,0,0,0,0,0,0,0,3,2001:db8::bbea:0af1:bbc6:8bd4,false,none,false,none,true,0.08
0,12,,,189.81,265.54,0.01,-67.8,4,1,0,0,0,0,0,14,2001:db8::4870:3731:1eb1:53b0,false,none,false,none,true,0.36
0,13,,,450.34,98.84,0.01,-35.5,0,0,0,0,0,0,0,3,2001:db8::307c:fbbf:fe5b:3d0d,false,none,false,none,true,0.07
0,14,,,194.29,266.79,0.01,-45.4,5,0,0,0,0,1,0,14,2001:db8::bc65:58a9:8d1e:8c62,false,none,false,none,true,0.24
0,15,,,571.25,525.19,0.01,-63.4,3,0,0,0,0,0,0,14,2001:db8::fb7d:f8eb:ee79:7945,false,none,false,none,true,0.75
0,16,46,,267.61,399.71,0.01,-41.5,2,0,0,0,0,1,100,8,2001:db8::726c:a229:9de6:9f7e,false,none,false,none,true,0.09
0,17,,,569.11,527.26,0.01,-55.4,3,0,0,0,0,0,0,14,2001:db8::044e:9562:2b5c:306f,false,none,false,none,true,0.05
0,18,,,520.52,548.26,0.01,-51.8,3,0,0,0,0,0,0,14,2001:db8::6b76:22d8:dd23:4030,false,none,false,none,true,0.20
0,19,46,,272.13,403.5,0.01,-38.4,2,0,0,0,0,0,0,8,2001:db8::06c0:e917:bd5d:d00f,false,none,false,none,true,0.21
0,20,,,189.17,264.25,0.01,-54.9,5,0,0,0,0,0,0,14,2001:db8::898d:0eb5:5e81:8abe,false,none,false,none,true,0.23
0,21,,,560.25,529.61,0.01,-69.5,3,0,0,0,0,0,0,14,2001:db8::e280:381c:ea51:8ec3,false,none,false,none,true,0.13
0,22,,,564.53,527.65,0.01,-60.4,3,0,0,0,0,0,0,14,2001:db8::70b5:ff9c:0904:bacf,false,none,false,none,true,0.12
0,23,,,183.35,262.29,0.01,-65,4,1,0,0,0,0,0,14,2001:db8::04e2:d18e:dcb2:7eb7,false,none,false,none,true,0.15
0,24,46,,271.43,401.53,0.01,-40.2,2,0,0,1,0,1,100,8,2001:db8::f96a:4906:0974:f0f1,false,none,false,none,true,0.40
0,25,,1,496.45,399.4,0.01,-41.4,0,1,0,0,0,0,100,0,2001:db8::bba0:a102:e162:d632,false,none,false,none,true,0.09
0,26,,,489.35,526.68,0.01,-52.2,3,0,0,0,0,1,100,14,2001:db8::97a8:48a5:313c:aad9,false,none,false,none,true,0.33
0,27,,,541.36,522.48,0.01,-31,3,0,0,0,0,1,100,14,2001:db8::c871:cb2a:7702:d380,false,none,false,none,true,1.00
0,28,,,556.31,531.82,0.01,-40.9,2,1,0,0,0,0,100,14,2001:db8::af9b:007a:471b:6367,false,none,false,none,true,0.05
0,29,,,195.45,265.06,0.01,-48.6,5,0,0,0,0,0,0,14,2001:db8::bbb2:75aa:189d:c1d3,false,none,false,none,true,0.22
0,30,46,,269.64,401.01,0.01,-45.5,2,0,0,0,0,1,100,8,2001:db8::2701:670e:e171:a2e9,false,none,false,none,true,0.18
0,31,,,554.51,523.98,0.01,-42,3,0,0,0,0,0,0,14,2001:db8::df83:0a0c:434b:9fe4,false,none,false,none,true,0.83
